time,temperature,humidity
2021-10-13T00:16:01Z,19.1,53.8
2021-10-13T00:16:02Z,19.1,53.8
2021-10-13T00:16:03Z,19.3,53.9
2021-10-13T00:16:04Z,19.3,53.9
2021-10-13T00:16:05Z,19.2,53.8
2021-10-13T00:16:06Z,19.2,53.8
2021-10-13T00:16:07Z,19.2,53.8
2021-10-13T00:16:08Z,19.2,53.8
2021-10-13T00:16:09Z,19.2,53.8
2021-10-13T00:16:10Z,19.2,53.8
2021-10-13T00:16:11Z,19.3,53.9
2021-10-13T00:16:12Z,19.3,53.9
2021-10-13T00:16:13Z,19.3,53.9
2021-10-13T00:16:14Z,19.3,53.9
2021-10-13T00:16:15Z,19.3,53.9
2021-10-13T00:16:16Z,19.3,53.9
2021-10-13T00:16:17Z,19.1,53.8
2021-10-13T00:16:18Z,19.1,53.8
2021-10-13T00:16:19Z,19.2,53.8
2021-10-13T00:16:20Z,19.2,53.8
2021-10-13T00:16:21Z,19.2,53.8
2021-10-13T00:16:22Z,19.2,53.8
2021-10-13T00:16:23Z,19.2,53.8
2021-10-13T00:16:24Z,19.2,53.8
2021-10-13T00:16:25Z,19.1,53.8
2021-10-13T00:16:26Z,19.1,53.8
2021-10-13T00:16:27Z,19.2,53.8
2021-10-13T00:16:28Z,19.2,53.8
2021-10-13T00:16:29Z,19.3,53.9
2021-10-13T00:16:30Z,19.3,53.9
2021-10-13T00:16:31Z,19.1,53.8
2021-10-13T00:16:32Z,19.1,53.8
2021-10-13T00:16:33Z,19.1,53.8
2021-10-13T00:16:34Z,19.2,53.8
2021-10-13T00:16:35Z,19.2,53.8
2021-10-13T00:16:36Z,19.1,53.8
2021-10-13T00:16:37Z,19.1,53.8
2021-10-13T00:16:38Z,19.2,53.8
2021-10-13T00:16:39Z,19.2,53.8
2021-10-13T00:16:40Z,19.1,53.8
2021-10-13T00:16:41Z,19.1,53.8
2021-10-13T00:16:42Z,19.2,53.8
2021-10-13T00:16:43Z,19.2,53.8
2021-10-13T00:16:44Z,19.3,53.9
2021-10-13T00:16:45Z,19.3,53.9
2021-10-13T00:16:46Z,19.2,53.8
2021-10-13T00:16:47Z,19.2,53.8
2021-10-13T00:16:48Z,19.2,53.8
2021-10-13T00:16:49Z,19.2,53.8
2021-10-13T00:16:50Z,19.2,53.8
2021-10-13T00:16:51Z,19.2,53.8
2021-10-13T00:16:52Z,19.0,53.7
2021-10-13T00:16:53Z,19.0,53.7
2021-10-13T00:16:54Z,19.3,53.9
2021-10-13T00:16:55Z,19.3,53.9
2021-10-13T00:16:56Z,19.2,53.8
2021-10-13T00:16:57Z,19.2,53.8
2021-10-13T00:16:58Z,19.2,53.8
2021-10-13T00:16:59Z,19.2,53.8
2021-10-13T00:17:00Z,19.2,53.8
2021-10-13T00:17:01Z,19.2,53.8
2021-10-13T00:17:02Z,19.2,53.8
2021-10-13T00:17:03Z,19.2,53.8
2021-10-13T00:17:04Z,19.2,53.8
2021-10-13T00:17:05Z,19.2,53.8
2021-10-13T00:17:06Z,19.2,53.8
2021-10-13T00:17:07Z,19.2,53.8
2021-10-13T00:17:08Z,19.2,53.8
2021-10-13T00:17:09Z,19.2,53.8
2021-10-13T00:17:10Z,19.2,53.8
2021-10-13T00:17:11Z,19.2,53.8
2021-10-13T00:17:12Z,19.3,53.9
2021-10-13T00:17:13Z,19.3,53.9
2021-10-13T00:17:14Z,19.1,53.8
2021-10-13T00:17:15Z,19.1,53.8
2021-10-13T00:17:16Z,19.1,53.8
2021-10-13T00:17:17Z,19.1,53.8
2021-10-13T00:17:18Z,19.3,53.9
2021-10-13T00:17:19Z,19.3,53.9
